"No.","Time","Source","Destination","Protocol","Length","Info"
"423","1.098560","1.16.1","host","USB","52","URB_INTERRUPT in"
"424","1.098598","host","1.16.1","USB","27","URB_INTERRUPT in"
"425","1.108559","1.16.1","host","USB","52","URB_INTERRUPT in"
"426","1.108617","host","1.16.1","USB","27","URB_INTERRUPT in"
"427","1.118698","1.16.1","host","USB","52","URB_INTERRUPT in"
"428","1.118765","host","1.16.1","USB","27","URB_INTERRUPT in"
"437","1.128557","1.16.1","host","USB","52","URB_INTERRUPT in"
"438","1.128600","host","1.16.1","USB","27","URB_INTERRUPT in"
"439","1.138557","1.16.1","host","USB","52","URB_INTERRUPT in"
"440","1.138594","host","1.16.1","USB","27","URB_INTERRUPT in"
"441","1.148690","1.16.1","host","USB","52","URB_INTERRUPT in"
"442","1.148746","host","1.16.1","USB","27","URB_INTERRUPT in"
"443","1.158563","1.16.1","host","USB","52","URB_INTERRUPT in"
"444","1.158606","host","1.16.1","USB","27","URB_INTERRUPT in"
"445","1.168558","1.16.1","host","USB","52","URB_INTERRUPT in"
"446","1.168592","host","1.16.1","USB","27","URB_INTERRUPT in"
"449","1.178556","1.16.1","host","USB","52","URB_INTERRUPT in"
"450","1.178592","host","1.16.1","USB","27","URB_INTERRUPT in"
"455","1.188557","1.16.1","host","USB","52","URB_INTERRUPT in"
"456","1.188591","host","1.16.1","USB","27","URB_INTERRUPT in"
"459","1.198551","1.16.1","host","USB","52","URB_INTERRUPT in"
"460","1.198588","host","1.16.1","USB","27","URB_INTERRUPT in"
"463","1.208556","1.16.1","host","USB","52","URB_INTERRUPT in"
"464","1.208594","host","1.16.1","USB","27","URB_INTERRUPT in"
"469","1.218553","1.16.1","host","USB","52","URB_INTERRUPT in"
"470","1.218598","host","1.16.1","USB","27","URB_INTERRUPT in"
"473","1.228556","1.16.1","host","USB","52","URB_INTERRUPT in"
"474","1.228590","host","1.16.1","USB","27","URB_INTERRUPT in"
"477","1.238554","1.16.1","host","USB","52","URB_INTERRUPT in"
"478","1.238601","host","1.16.1","USB","27","URB_INTERRUPT in"
"485","1.248558","1.16.1","host","USB","52","URB_INTERRUPT in"
"486","1.248595","host","1.16.1","USB","27","URB_INTERRUPT in"
"489","1.258559","1.16.1","host","USB","52","URB_INTERRUPT in"
"490","1.258607","host","1.16.1","USB","27","URB_INTERRUPT in"
"493","1.268558","1.16.1","host","USB","52","URB_INTERRUPT in"
"494","1.268595","host","1.16.1","USB","27","URB_INTERRUPT in"
"499","1.278559","1.16.1","host","USB","52","URB_INTERRUPT in"
"500","1.278596","host","1.16.1","USB","27","URB_INTERRUPT in"
"503","1.288550","1.16.1","host","USB","52","URB_INTERRUPT in"
"504","1.288569","host","1.16.1","USB","27","URB_INTERRUPT in"
"507","1.298557","1.16.1","host","USB","52","URB_INTERRUPT in"
"508","1.298606","host","1.16.1","USB","27","URB_INTERRUPT in"
"513","1.308556","1.16.1","host","USB","52","URB_INTERRUPT in"
"514","1.308604","host","1.16.1","USB","27","URB_INTERRUPT in"
"517","1.318563","1.16.1","host","USB","52","URB_INTERRUPT in"
"518","1.318616","host","1.16.1","USB","27","URB_INTERRUPT in"
"521","1.328550","1.16.1","host","USB","52","URB_INTERRUPT in"
"522","1.328570","host","1.16.1","USB","27","URB_INTERRUPT in"
"527","1.338547","1.16.1","host","USB","52","URB_INTERRUPT in"
"528","1.338579","host","1.16.1","USB","27","URB_INTERRUPT in"
"531","1.348557","1.16.1","host","USB","52","URB_INTERRUPT in"
"532","1.348594","host","1.16.1","USB","27","URB_INTERRUPT in"
"535","1.358559","1.16.1","host","USB","52","URB_INTERRUPT in"
"536","1.358580","host","1.16.1","USB","27","URB_INTERRUPT in"
"541","1.368552","1.16.1","host","USB","52","URB_INTERRUPT in"
"542","1.368590","host","1.16.1","USB","27","URB_INTERRUPT in"
"551","1.378556","1.16.1","host","USB","52","URB_INTERRUPT in"
"552","1.378606","host","1.16.1","USB","27","URB_INTERRUPT in"
"555","1.388560","1.16.1","host","USB","52","URB_INTERRUPT in"
"556","1.388582","host","1.16.1","USB","27","URB_INTERRUPT in"
"561","1.398551","1.16.1","host","USB","52","URB_INTERRUPT in"
"562","1.398591","host","1.16.1","USB","27","URB_INTERRUPT in"
"565","1.408558","1.16.1","host","USB","52","URB_INTERRUPT in"
"566","1.408604","host","1.16.1","USB","27","URB_INTERRUPT in"
"569","1.418560","1.16.1","host","USB","52","URB_INTERRUPT in"
"570","1.418613","host","1.16.1","USB","27","URB_INTERRUPT in"
"575","1.428556","1.16.1","host","USB","52","URB_INTERRUPT in"
"576","1.428580","host","1.16.1","USB","27","URB_INTERRUPT in"
"579","1.438559","1.16.1","host","USB","52","URB_INTERRUPT in"
"580","1.438615","host","1.16.1","USB","27","URB_INTERRUPT in"
"583","1.448558","1.16.1","host","USB","52","URB_INTERRUPT in"
"584","1.448605","host","1.16.1","USB","27","URB_INTERRUPT in"
"589","1.458548","1.16.1","host","USB","52","URB_INTERRUPT in"
"590","1.458569","host","1.16.1","USB","27","URB_INTERRUPT in"
"593","1.468556","1.16.1","host","USB","52","URB_INTERRUPT in"
"594","1.468594","host","1.16.1","USB","27","URB_INTERRUPT in"
"597","1.478554","1.16.1","host","USB","52","URB_INTERRUPT in"
"598","1.478592","host","1.16.1","USB","27","URB_INTERRUPT in"
"603","1.488557","1.16.1","host","USB","52","URB_INTERRUPT in"
"604","1.488578","host","1.16.1","USB","27","URB_INTERRUPT in"
"613","1.498551","1.16.1","host","USB","52","URB_INTERRUPT in"
"614","1.498588","host","1.16.1","USB","27","URB_INTERRUPT in"
"617","1.508611","1.16.1","host","USB","52","URB_INTERRUPT in"
"618","1.508629","host","1.16.1","USB","27","URB_INTERRUPT in"
"623","1.518548","1.16.1","host","USB","52","URB_INTERRUPT in"
"624","1.518582","host","1.16.1","USB","27","URB_INTERRUPT in"
"627","1.528559","1.16.1","host","USB","52","URB_INTERRUPT in"
"628","1.528604","host","1.16.1","USB","27","URB_INTERRUPT in"
"631","1.538548","1.16.1","host","USB","52","URB_INTERRUPT in"
"632","1.538581","host","1.16.1","USB","27","URB_INTERRUPT in"
"637","1.548549","1.16.1","host","USB","52","URB_INTERRUPT in"
"638","1.548569","host","1.16.1","USB","27","URB_INTERRUPT in"
"641","1.558551","1.16.1","host","USB","52","URB_INTERRUPT in"
